"year","Randy","Garth","Taylor","Shania"
"1984",NA,NA,NA,0
"1985",0,0,0,0
"1986",0.096,0,0,0
"1987",0.481,0,0,0
"1988",0.5,0,0,0
"1989",0.327,0,0,0
"1990",0.077,0.173,0,0
"1991",0,0.885,0,0
"1992",0,0.596,0,0
"1993",0,0.212,0,0
"1994",0,0.019,0,0
"1995",0,0.365,0,0.212
"1996",0,0.058,0,0.346
"1997",0,0.058,0,0.058
"1998",0,0.346,0,0.365
"1999",0,0.096,0,0.5
"2000",0,0,0,0.038
"2001",0,0.096,0,0
"2002",0,0.038,0,0.077
"2003",0,0,0,0.038
"2004",0,0,0,0.096
"2005",0,0,0,0.115
"2006",0,0,0,0
"2007",0,0.038,0.154,0
"2008",0,0,0.423,0
"2009",0,0,0.462,0
"2010",0,0,0.231,0
"2011",0,0,0.135,0
"2012",0,0,0.154,0
"2013",0,0.058,0.154,0
"2014",0,0.115,0,0
