"year","percentage","critPicks","total","avgWeeks","mostWeeks"
"1984",NA,NA,NA,NA,NA
"1985",0,0,14,4.1,14
"1986",0.111111111111111,2,18,1.9,8
"1987",0,0,12,5.6,43
"1988",0,0,10,4.3,16
"1989",0,0,7,10.1,31
"1990",0,0,5,12.2,41
"1991",0,0,2,17,33
"1992",0,0,3,17.7,34
"1993",0,0,7,5.3,13
"1994",0,0,9,7,29
"1995",0,0,6,9.7,29
"1996",0,0,5,8,28
"1997",0,0,7,14.4,50
"1998",0,0,6,4.3,9
"1999",0,0,6,9,36
"2000",0,0,6,2.5,8
"2001",0.1,1,10,5.5,35
"2002",0,0,9,6.3,19
"2003",0,0,12,3.3,13
"2004",0.111111111111111,1,9,4.8,14
"2005",0,0,18,3.6,27
"2006",0.0625,1,16,2.6,15
"2007",0.0588235294117647,1,17,3.2,24
"2008",0,0,20,3.2,35
"2009",0.133333333333333,2,15,1.9,9
"2010",0.153846153846154,2,13,4.2,31
"2011",0.0588235294117647,1,17,3.2,13
"2012",0.0769230769230769,1,13,3.7,16
"2013",0.05,1,20,2.8,13
"2014",0.0434782608695652,1,23,2.2,9
